,District Name,CDS Number (District),CAASPP-ELA Standard Exceeded (Level 4) (District),CAASPP-ELA Standard Met (Level 3) (District),CAASPP-ELA Standard Nearly Met (Level 2) (District),CAASPP-ELA Standard Not Met (Level 1) (District),CAASPP-ELA Standard Exceeded or Met (Levels 3 and 4) (District),American Indian or Alaska Native (CAASPP-ELA Levels 3 and 4) (District),Asian (CAASPP-ELA Levels 3 and 4) (District),Black or African American (CAASPP-ELA Levels 3 and 4) (District),Filipino (CAASPP-ELA Levels 3 and 4) (District),Hispanic or Latino (CAASPP-ELA Levels 3 and 4) (District),Native Hawaiian or Pac Islandr (CAASPP-ELA Levels 3 and 4) (District),Two or More Races (CAASPP-ELA Levels 3 and 4) (District),White (CAASPP-ELA Levels 3 and 4) (District),Males (CAASPP-ELA Levels 3 and 4) (District),Females (CAASPP-ELA Levels 3 and 4) (District)
137,Caruthers Unified (Fresno),10-75598-0000000,11.8,27,28.9,32.3,38.8,redacted,56.4,redacted,,35.7,redacted,redacted,54.1,33.2,44.7
138,Cascade Union Elementary (Shasta),45-69914-0000000,8.4,23.4,26.6,41.6,31.8,26.5,47.8,15,redacted,29.5,redacted,18.8,32.4,26.5,37.4
139,Castaic Union (Los Angeles),19-64345-0000000,24.5,38.1,20.7,16.7,62.6,redacted,77.9,39.4,80.7,49.6,redacted,77.4,72.6,57.6,68
140,Castle Rock Union Elementary (Shasta),45-69922-0000000,3.1,37.5,34.4,25,40.6,redacted,,redacted,,redacted,,redacted,33.3,37.5,43.8
141,Castro Valley Unified (Alameda),01-61150-0000000,33.1,33.7,19.8,13.4,66.8,redacted,81,40.9,68.9,50.2,50,75.5,69.1,61.5,72.5
142,Cayucos Elementary (San Luis Obispo),40-68726-0000000,23.6,28.6,29.3,18.6,52.1,,redacted,,redacted,47.1,,41.7,55.2,47.5,55.7
143,Center Joint Unified (Sacramento),34-73973-0000000,15.9,31.8,26.5,25.9,47.7,43.8,62.5,32.6,72.6,40.9,33.3,45.7,52.3,41.4,54.3
144,Centinela Valley Union High (Los Angeles),19-64352-0000000,14.1,30.6,25.4,29.9,44.7,redacted,69.1,38.9,72.7,45.2,21.4,38.2,50,37.3,53.2
145,Central Elementary (San Bernardino),36-67645-0000000,18.5,34.8,24.8,22,53.2,redacted,78.4,41.8,77.5,49.2,50,44.9,59.6,46.5,60.3
146,Central Unified (Fresno),10-73965-0000000,12.7,27.7,27.7,32,40.4,34.1,50.9,26.5,59.1,35.8,42.9,60.2,53.9,34.1,47
147,Central Union Elementary (Kings),16-63883-0000000,19.3,33,22.7,25.1,52.3,20.5,50,47,79.6,44.2,redacted,67.2,65.8,47.6,56.5
148,Central Union High (Imperial),13-63115-0000000,25,35.8,25.1,14.1,60.8,,100,redacted,,59.4,,redacted,84.4,56.5,65
149,Centralia Elementary (Orange),30-66472-0000000,32.5,28.3,19.1,20,60.8,redacted,85.3,44.3,84.1,50.2,57.9,62.8,63.9,55.8,66.4
150,Ceres Unified (Stanislaus),50-71043-0000000,10.4,27.8,28.3,33.6,38.1,43.6,55.7,30.7,83.3,35.3,44.4,39.3,46.4,32.9,43.4
151,Chaffey Joint Union High (San Bernardino),36-67652-0000000,29.8,36.3,20.5,13.5,66.1,56.5,85.3,56.4,85.3,61.5,51.6,74,77.3,61.1,71.4
152,Charter Oak Unified (Los Angeles),19-64378-0000000,18.4,32.2,25.9,23.6,50.5,41.7,72.7,43.2,74,44.4,66.7,61.1,62.8,46.9,54.4
153,Chatom Union (Stanislaus),50-71050-0000000,10.3,29.6,23.3,36.8,40,,,,,31.6,redacted,redacted,61.9,34.2,45.7
