,District Name,CDS Number (District),Average Daily Attendance (ADA) (District),English Learners # (District),English Learners % (District),Enrollment (District),Ethnic Diversity Index (District),American Indian or Alaska Native # (District),Asian # (District),Black or African American # (District),Filipino # (District),Hispanic or Latino # (District),Native Hawaiian or Pac Islander # (District),Two or More Races # (District),None Reported # (District),White # (District),American Indian or Alaska Native % (District),Asian % (District),Black or African American % (District),Filipino % (District),Hispanic or Latino % (District),Native Hawaiian or Pac Islander % (District),Two or More Races % (District),None Reported % (District),White % (District),Fluent English Proficient (FEP) # (District),Fluent English Proficient (FEP) % (District),Foster Youth # (District),Free/Reduced Meals # (District),Free/Reduced Meals % (District),FRPM/EL/Foster Undupl # (District),FRPM/EL/Foster Undupl % (District),Homeless # (District),Migrant # (District),Special Education # (District)
249,Elverta Joint Elementary (Sacramento),34-67322-0000000,232.0,62.0,21.5,288.0,55.0,6.0,12.0,31.0,1.0,87.0,1.0,25.0,1.0,124.0,2.1,4.2,10.8,0.3,30.2,0.3,8.7,0.3,43.1,20.0,6.9,redacted,215.0,74.7,184.0,72.8,30.0,0.0,14.0
250,Emery Unified (Alameda),01-61168-0000000,644.0,145.0,21.1,687.0,51.0,9.0,72.0,357.0,10.0,138.0,8.0,15.0,2.0,76.0,1.3,10.5,52.0,1.5,20.1,1.2,2.2,0.3,11.1,91.0,13.2,redacted,481.0,70.0,517.0,75.8,0.0,0.0,63.0
251,Empire Union Elementary (Stanislaus),50-71076-0000000,2838.0,805.0,26.6,3025.0,40.0,14.0,101.0,143.0,23.0,1831.0,25.0,115.0,39.0,734.0,0.5,3.3,4.7,0.8,60.5,0.8,3.8,1.3,24.3,289.0,9.6,24,2419.0,80.0,2539.0,84.4,12.0,42.0,377.0
252,Encinitas Union Elementary (San Diego),37-68080-0000000,5138.0,520.0,9.8,5313.0,34.0,22.0,208.0,50.0,42.0,1161.0,9.0,223.0,0.0,3598.0,0.4,3.9,0.9,0.8,21.9,0.2,4.2,0.0,67.7,308.0,5.8,redacted,725.0,13.6,858.0,16.2,17.0,11.0,606.0
253,Enterprise Elementary (Shasta),45-69971-0000000,3596.0,336.0,8.9,3786.0,42.0,92.0,262.0,74.0,9.0,640.0,7.0,349.0,125.0,2228.0,2.4,6.9,2.0,0.2,16.9,0.2,9.2,3.3,58.8,152.0,4.0,32,2628.0,69.4,2654.0,69.3,36.0,0.0,409.0
254,Escalon Unified (San Joaquin),39-68502-0000000,2491.0,601.0,20.8,2895.0,39.0,8.0,44.0,9.0,18.0,1375.0,2.0,54.0,8.0,1377.0,0.3,1.5,0.3,0.6,47.5,0.1,1.9,0.3,47.6,404.0,14.0,redacted,1299.0,44.9,1301.0,52.4,4.0,61.0,256.0
255,Escondido Union (San Diego),37-68098-0000000,15489.0,7573.0,39.9,18965.0,30.0,39.0,458.0,276.0,302.0,13482.0,21.0,534.0,217.0,3636.0,0.2,2.4,1.5,1.6,71.1,0.1,2.8,1.1,19.2,2639.0,13.9,45,13695.0,72.2,13156.0,78.9,825.0,89.0,2008.0
256,Escondido Union High (San Diego),37-68106-0000000,7038.0,1226.0,12.8,9578.0,37.0,25.0,288.0,214.0,199.0,6028.0,28.0,169.0,35.0,2592.0,0.3,3.0,2.2,2.1,62.9,0.3,1.8,0.4,27.1,3859.0,40.3,25,5495.0,57.4,5171.0,69.9,96.0,39.0,1001.0
257,Esparto Unified (Yolo),57-72686-0000000,891.0,242.0,25.0,967.0,26.0,6.0,7.0,11.0,5.0,724.0,2.0,13.0,0.0,199.0,0.6,0.7,1.1,0.5,74.9,0.2,1.3,0.0,20.6,294.0,30.4,redacted,710.0,73.4,725.0,74.9,45.0,101.0,112.0
258,Etiwanda Elementary (San Bernardino),36-67702-0000000,13636.0,1269.0,9.1,13992.0,57.0,28.0,1605.0,1420.0,628.0,6237.0,38.0,640.0,88.0,3308.0,0.2,11.5,10.1,4.5,44.6,0.3,4.6,0.6,23.6,1603.0,11.5,49,4854.0,34.7,5549.0,38.5,677.0,0.0,1910.0
259,Eureka City Schools (Humboldt),12-75515-0000000,3513.0,626.0,16.6,3767.0,55.0,212.0,401.0,96.0,21.0,817.0,57.0,347.0,11.0,1805.0,5.6,10.6,2.5,0.6,21.7,1.5,9.2,0.3,47.9,243.0,6.5,63,2407.0,63.9,2484.0,64.6,371.0,11.0,494.0
260,Eureka Union (Placer),31-66829-0000000,3283.0,187.0,5.5,3383.0,36.0,23.0,286.0,76.0,64.0,362.0,4.0,271.0,34.0,2263.0,0.7,8.5,2.2,1.9,10.7,0.1,8.0,1.0,66.9,218.0,6.4,redacted,381.0,11.3,498.0,13.7,23.0,0.0,336.0
261,Evergreen Elementary (Santa Clara),43-69435-0000000,11449.0,2673.0,22.7,11794.0,47.0,35.0,6363.0,166.0,875.0,2978.0,56.0,433.0,138.0,750.0,0.3,54.0,1.4,7.4,25.3,0.5,3.7,1.2,6.4,3546.0,30.1,20,3396.0,28.8,4711.0,42.3,20.0,121.0,949.0
262,Evergreen Union (Tehama),52-71522-0000000,1043.0,44.0,3.7,1192.0,26.0,36.0,12.0,5.0,4.0,179.0,3.0,42.0,0.0,911.0,3.0,1.0,0.4,0.3,15.0,0.3,3.5,0.0,76.4,16.0,1.3,17,657.0,55.1,626.0,56.7,28.0,0.0,120.0
263,Exeter Unified (Tulare),54-76836-0000000,2697.0,586.0,20.6,2851.0,35.0,22.0,16.0,25.0,9.0,1686.0,3.0,22.0,23.0,1045.0,0.8,0.6,0.9,0.3,59.1,0.1,0.8,0.8,36.7,198.0,6.9,41,1826.0,64.0,1886.0,66.1,0.0,0.0,132.0
264,Fairfax Elementary (Kern),15-63461-0000000,2576.0,1079.0,40.0,2699.0,12.0,6.0,50.0,81.0,11.0,2370.0,1.0,16.0,36.0,128.0,0.2,1.9,3.0,0.4,87.8,0.0,0.6,1.3,4.7,452.0,16.7,16,2371.0,87.8,2476.0,92.8,253.0,303.0,254.0
265,Fairfield-Suisun Unified (Solano),48-70540-0000000,20564.0,3072.0,14.2,21607.0,62.0,115.0,1158.0,3446.0,1908.0,9042.0,246.0,1672.0,11.0,4009.0,0.5,5.4,15.9,8.8,41.8,1.1,7.7,0.1,18.6,4071.0,18.8,129,11932.0,55.2,12421.0,59.0,405.0,17.0,2324.0
266,Fall River Joint Unified (Shasta),45-69989-0000000,1122.0,108.0,8.8,1232.0,41.0,115.0,4.0,1.0,1.0,293.0,2.0,68.0,11.0,737.0,9.3,0.3,0.1,0.1,23.8,0.2,5.5,0.9,59.8,60.0,4.9,redacted,715.0,58.0,728.0,60.3,16.0,69.0,190.0
267,Fallbrook Union Elementary (San Diego),37-68114-0000000,4767.0,1622.0,32.4,5006.0,37.0,6.0,29.0,169.0,35.0,3053.0,7.0,161.0,0.0,1546.0,0.1,0.6,3.4,0.7,61.0,0.1,3.2,0.0,30.9,466.0,9.3,16,3267.0,65.3,3367.0,64.4,9.0,590.0,653.0
268,Fallbrook Union High (San Diego),37-68122-0000000,2112.0,299.0,13.2,2264.0,34.0,25.0,15.0,44.0,19.0,1453.0,8.0,31.0,14.0,655.0,1.1,0.7,1.9,0.8,64.2,0.4,1.4,0.6,28.9,919.0,40.6,redacted,1284.0,56.7,1329.0,58.0,286.0,255.0,299.0
269,Farmersville Unified (Tulare),54-75325-0000000,2438.0,1027.0,40.1,2561.0,6.0,6.0,9.0,6.0,2.0,2423.0,1.0,1.0,0.0,113.0,0.2,0.4,0.2,0.1,94.6,0.0,0.0,0.0,4.4,683.0,26.7,17,2266.0,88.5,2337.0,91.1,2.0,100.0,85.0
270,Feather Falls Union Elementary (Butte),04-61440-0000000,13.0,,,78.0,65.0,23.0,0.0,4.0,0.0,14.0,0.0,17.0,0.0,20.0,29.5,0.0,5.1,0.0,17.9,0.0,21.8,0.0,25.6,0.0,0.0,redacted,38.0,48.7,8.0,74.3,1.0,0.0,14.0
271,Ferndale Unified (Humboldt),12-75374-0000000,480.0,37.0,7.2,513.0,30.0,21.0,3.0,3.0,0.0,116.0,2.0,3.0,0.0,365.0,4.1,0.6,0.6,0.0,22.6,0.4,0.6,0.0,71.2,46.0,9.0,redacted,234.0,45.6,240.0,45.1,0.0,0.0,78.0
272,Fieldbrook Elementary (Humboldt),12-62794-0000000,140.0,,,146.0,26.0,9.0,2.0,2.0,0.0,6.0,0.0,15.0,0.0,112.0,6.2,1.4,1.4,0.0,4.1,0.0,10.3,0.0,76.7,2.0,1.4,redacted,61.0,41.8,61.0,38.4,0.0,0.0,14.0
273,Fillmore Unified (Ventura),56-72454-0000000,3622.0,1132.0,30.1,3757.0,10.0,13.0,8.0,6.0,7.0,3432.0,1.0,22.0,0.0,268.0,0.3,0.2,0.2,0.2,91.3,0.0,0.6,0.0,7.1,1039.0,27.7,17,2655.0,70.7,2830.0,78.8,111.0,174.0,521.0
274,Firebaugh-Las Deltas Unified (Fresno),10-73809-0000000,2223.0,855.0,37.3,2290.0,5.0,0.0,4.0,3.0,0.0,2185.0,1.0,0.0,2.0,95.0,0.0,0.2,0.1,0.0,95.4,0.0,0.0,0.1,4.1,777.0,33.9,redacted,2010.0,87.8,2072.0,91.2,19.0,206.0,183.0
275,Flournoy Union Elementary (Tehama),52-71530-0000000,22.0,1.0,4.8,21.0,15.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,14.3,0.0,0.0,0.0,85.7,0.0,0.0,redacted,0.0,0.0,6.0,50.7,0.0,0.0,4.0
276,Folsom-Cordova Unified (Sacramento),34-67330-0000000,19270.0,2236.0,11.0,20312.0,52.0,84.0,2854.0,1148.0,466.0,4092.0,149.0,1237.0,48.0,10234.0,0.4,14.1,5.7,2.3,20.1,0.7,6.1,0.2,50.4,3255.0,16.0,87,6626.0,32.6,7221.0,36.7,628.0,0.0,2338.0
277,Fontana Unified (San Bernardino),36-67710-0000000,36375.0,11968.0,31.5,38014.0,15.0,39.0,398.0,2078.0,394.0,33078.0,93.0,361.0,1.0,1572.0,0.1,1.0,5.5,1.0,87.0,0.2,0.9,0.0,4.1,9957.0,26.2,337,31435.0,82.7,32947.0,87.3,829.0,0.0,4641.0
278,Foresthill Union Elementary (Placer),31-66837-0000000,378.0,5.0,1.3,398.0,20.0,8.0,4.0,6.0,1.0,41.0,2.0,7.0,7.0,322.0,2.0,1.0,1.5,0.3,10.3,0.5,1.8,1.8,80.9,0.0,0.0,redacted,165.0,41.5,168.0,41.7,16.0,0.0,40.0
279,Forestville Union Elementary (Sonoma),49-70680-0000000,321.0,50.0,14.7,340.0,37.0,4.0,2.0,1.0,0.0,98.0,1.0,23.0,0.0,211.0,1.2,0.6,0.3,0.0,28.8,0.3,6.8,0.0,62.1,12.0,3.5,redacted,151.0,44.4,28.0,47.2,9.0,1.0,39.0
280,Forks of Salmon Elementary (Siskiyou),47-70292-0000000,8.0,,,10.0,22.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,80.0,0.0,0.0,redacted,0.0,0.0,4.0,63.2,0.0,0.0,1.0
281,Fort Bragg Unified (Mendocino),23-65565-0000000,1648.0,357.0,18.9,1891.0,41.0,21.0,16.0,16.0,2.0,781.0,1.0,96.0,32.0,926.0,1.1,0.8,0.8,0.1,41.3,0.1,5.1,1.7,49.0,306.0,16.2,14,1243.0,65.7,1199.0,68.7,134.0,82.0,175.0
282,Fort Ross Elementary (Sonoma),49-70698-0000000,19.0,9.0,37.5,24.0,35.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,1.0,4.2,redacted,18.0,75.0,19.0,64.4,0.0,0.0,2.0
283,Fort Sage Unified (Lassen),18-75036-0000000,121.0,2.0,0.8,240.0,30.0,9.0,0.0,6.0,0.0,31.0,4.0,14.0,1.0,175.0,3.8,0.0,2.5,0.0,12.9,1.7,5.8,0.4,72.9,0.0,0.0,redacted,122.0,50.8,79.0,73.2,1.0,0.0,29.0
284,Fortuna Elementary (Humboldt),12-76802-0000000,1088.0,270.0,19.6,1377.0,42.0,39.0,11.0,8.0,2.0,474.0,0.0,88.0,10.0,745.0,2.8,0.8,0.6,0.1,34.4,0.0,6.4,0.7,54.1,58.0,4.2,redacted,880.0,63.9,843.0,73.8,91.0,2.0,254.0
285,Fortuna Union High (Humboldt),12-62810-0000000,1007.0,82.0,7.4,1105.0,41.0,47.0,14.0,4.0,7.0,272.0,1.0,93.0,3.0,664.0,4.3,1.3,0.4,0.6,24.6,0.1,8.4,0.3,60.1,102.0,9.2,11,534.0,48.3,552.0,48.4,20.0,0.0,163.0
286,Fountain Valley Elementary (Orange),30-66498-0000000,6197.0,882.0,13.8,6387.0,54.0,18.0,2284.0,45.0,110.0,1101.0,37.0,299.0,52.0,2441.0,0.3,35.8,0.7,1.7,17.2,0.6,4.7,0.8,38.2,944.0,14.8,11,1235.0,19.3,1786.0,28.7,10.0,0.0,515.0
287,Fowler Unified (Fresno),10-62158-0000000,2469.0,603.0,23.5,2562.0,22.0,5.0,237.0,25.0,0.0,2037.0,0.0,8.0,9.0,241.0,0.2,9.3,1.0,0.0,79.5,0.0,0.3,0.4,9.4,461.0,18.0,redacted,1929.0,75.3,1962.0,77.2,33.0,25.0,225.0
288,Franklin Elementary (Sutter),51-71381-0000000,463.0,42.0,8.8,478.0,43.0,2.0,45.0,3.0,0.0,104.0,0.0,39.0,8.0,277.0,0.4,9.4,0.6,0.0,21.8,0.0,8.2,1.7,57.9,18.0,3.8,redacted,134.0,28.0,141.0,29.8,0.0,3.0,39.0
289,Franklin-McKinley Elementary (Santa Clara),43-69450-0000000,7697.0,5001.0,46.6,10735.0,38.0,9.0,3333.0,158.0,369.0,6464.0,37.0,154.0,32.0,179.0,0.1,31.0,1.5,3.4,60.2,0.3,1.4,0.3,1.7,3144.0,29.3,23,8073.0,75.2,6308.0,85.9,192.0,37.0,1015.0
290,Fremont Unified (Alameda),01-61176-0000000,33781.0,5651.0,16.1,35171.0,42.0,91.0,21641.0,780.0,1915.0,5201.0,204.0,1030.0,27.0,4282.0,0.3,61.5,2.2,5.4,14.8,0.6,2.9,0.1,12.2,12960.0,36.8,40,5835.0,16.6,9577.0,30.0,234.0,65.0,3145.0
291,Fremont Union High (Santa Clara),43-69468-0000000,10463.0,849.0,7.8,10869.0,45.0,9.0,6271.0,98.0,301.0,1634.0,30.0,569.0,0.0,1957.0,0.1,57.7,0.9,2.8,15.0,0.3,5.2,0.0,18.0,5913.0,54.4,redacted,1242.0,11.4,1775.0,17.4,29.0,0.0,981.0
292,French Gulch-Whiskeytown Elementary (Shasta),45-69997-0000000,27.0,,,31.0,41.0,0.0,0.0,0.0,0.0,5.0,0.0,8.0,0.0,18.0,0.0,0.0,0.0,0.0,16.1,0.0,25.8,0.0,58.1,0.0,0.0,redacted,24.0,77.4,23.0,77.8,0.0,0.0,5.0
293,Freshwater Elementary (Humboldt),12-62828-0000000,282.0,12.0,3.5,342.0,28.0,9.0,6.0,2.0,0.0,41.0,0.0,28.0,6.0,250.0,2.6,1.8,0.6,0.0,12.0,0.0,8.2,1.8,73.1,1.0,0.3,redacted,120.0,35.1,108.0,33.6,0.0,0.0,23.0
294,Fresno County Office of Education (Fresno),10-10108-0000000,,503.0,17.4,2888.0,35.0,31.0,100.0,347.0,5.0,1899.0,2.0,46.0,101.0,357.0,1.1,3.5,12.0,0.2,65.8,0.1,1.6,3.5,12.4,394.0,13.6,63,2404.0,83.0,822.0,,23.0,30.0,822.0
295,Fresno Unified (Fresno),10-62166-0000000,66294.0,15480.0,21.1,73356.0,36.0,435.0,7791.0,6224.0,304.0,49722.0,261.0,1317.0,4.0,7298.0,0.6,10.6,8.5,0.4,67.8,0.4,1.8,0.0,9.9,14468.0,19.7,621,64094.0,87.4,63245.0,88.2,1755.0,527.0,7108.0
296,Fruitvale Elementary (Kern),15-63479-0000000,3128.0,169.0,5.3,3211.0,45.0,30.0,81.0,98.0,63.0,1220.0,5.0,131.0,20.0,1563.0,0.9,2.5,3.1,2.0,38.0,0.2,4.1,0.6,48.7,229.0,7.1,16,1448.0,45.1,1508.0,42.9,67.0,0.0,296.0
297,Fullerton Elementary (Orange),30-66506-0000000,13020.0,3770.0,28.2,13363.0,50.0,59.0,2809.0,184.0,295.0,6775.0,21.0,546.0,80.0,2594.0,0.4,21.0,1.4,2.2,50.7,0.2,4.1,0.6,19.4,1838.0,13.8,46,5750.0,43.0,6818.0,51.6,32.0,0.0,1309.0
298,Fullerton Joint Union High (Orange),30-66514-0000000,13377.0,1334.0,9.5,13983.0,46.0,29.0,2590.0,313.0,474.0,7787.0,60.0,315.0,28.0,2387.0,0.2,18.5,2.2,3.4,55.7,0.4,2.3,0.2,17.1,5270.0,37.7,69,5964.0,42.7,6339.0,47.7,291.0,0.0,1189.0
299,Galt Joint Union Elementary (Sacramento),34-67348-0000000,3455.0,790.0,21.8,3616.0,38.0,11.0,85.0,47.0,36.0,2129.0,24.0,66.0,1.0,1217.0,0.3,2.4,1.3,1.0,58.9,0.7,1.8,0.0,33.7,594.0,16.4,11,2095.0,57.9,2217.0,62.7,102.0,203.0,503.0
300,Galt Joint Union High (Sacramento),34-67355-0000000,2049.0,162.0,7.4,2191.0,39.0,7.0,19.0,34.0,9.0,1243.0,7.0,103.0,11.0,758.0,0.3,0.9,1.6,0.4,56.7,0.3,4.7,0.5,34.6,708.0,32.3,redacted,1299.0,59.3,1313.0,59.3,172.0,57.0,176.0
301,Garden Grove Unified (Orange),30-66522-0000000,42816.0,17047.0,38.5,44223.0,42.0,36.0,15121.0,257.0,517.0,23720.0,254.0,320.0,454.0,3544.0,0.1,34.2,0.6,1.2,53.6,0.6,0.7,1.0,8.0,14399.0,32.6,154,30136.0,68.1,33183.0,76.8,504.0,49.0,4953.0
302,Garfield Elementary (Humboldt),12-62836-0000000,66.0,,,69.0,20.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,57.0,4.3,0.0,4.3,0.0,4.3,0.0,4.3,0.0,82.6,0.0,0.0,redacted,12.0,17.4,12.0,18.7,0.0,0.0,18.0
303,Garvey Elementary (Los Angeles),19-64550-0000000,4672.0,2040.0,42.5,4805.0,36.0,5.0,2749.0,20.0,46.0,1861.0,1.0,22.0,28.0,73.0,0.1,57.2,0.4,1.0,38.7,0.0,0.5,0.6,1.5,1495.0,31.1,48,3952.0,82.2,4158.0,87.1,7.0,13.0,424.0
304,Gateway Unified (Shasta),45-75267-0000000,2152.0,66.0,2.4,2801.0,33.0,176.0,70.0,46.0,6.0,422.0,14.0,118.0,14.0,1935.0,6.3,2.5,1.6,0.2,15.1,0.5,4.2,0.5,69.1,68.0,2.4,26,1947.0,69.5,1634.0,71.0,19.0,0.0,415.0
305,Gazelle Union Elementary (Siskiyou),47-70318-0000000,28.0,,,30.0,49.0,4.0,0.0,3.0,0.0,6.0,0.0,1.0,0.0,16.0,13.3,0.0,10.0,0.0,20.0,0.0,3.3,0.0,53.3,0.0,0.0,redacted,20.0,66.7,20.0,69.4,0.0,0.0,5.0
306,General Shafter Elementary (Kern),15-63487-0000000,143.0,68.0,46.6,146.0,12.0,0.0,2.0,0.0,0.0,130.0,0.0,0.0,0.0,14.0,0.0,1.4,0.0,0.0,89.0,0.0,0.0,0.0,9.6,19.0,13.0,redacted,109.0,74.7,114.0,79.7,0.0,0.0,12.0
307,Gerber Union Elementary (Tehama),52-71548-0000000,397.0,201.0,47.2,426.0,31.0,12.0,2.0,1.0,0.0,294.0,0.0,9.0,1.0,107.0,2.8,0.5,0.2,0.0,69.0,0.0,2.1,0.2,25.1,43.0,10.1,redacted,352.0,82.6,378.0,87.9,11.0,3.0,42.0
308,Geyserville Unified (Sonoma),49-70706-0000000,231.0,65.0,26.0,250.0,33.0,0.0,2.0,2.0,0.0,157.0,0.0,3.0,0.0,86.0,0.0,0.8,0.8,0.0,62.8,0.0,1.2,0.0,34.4,59.0,23.6,redacted,143.0,57.2,150.0,66.0,4.0,25.0,30.0
309,Gilroy Unified (Santa Clara),43-69484-0000000,10844.0,2748.0,23.0,11959.0,30.0,68.0,464.0,153.0,260.0,8388.0,26.0,227.0,261.0,2112.0,0.6,3.9,1.3,2.2,70.1,0.2,1.9,2.2,17.7,2786.0,23.3,75,6633.0,55.5,6785.0,59.3,52.0,202.0,1430.0
310,Glendale Unified (Los Angeles),19-64568-0000000,25131.0,5913.0,22.7,26075.0,46.0,43.0,3059.0,306.0,1536.0,5770.0,25.0,653.0,0.0,14683.0,0.2,11.7,1.2,5.9,22.1,0.1,2.5,0.0,56.3,8171.0,31.3,46,12379.0,47.5,14117.0,54.7,1722.0,0.0,2417.0
311,Glendora Unified (Los Angeles),19-64576-0000000,7299.0,475.0,6.3,7538.0,48.0,14.0,574.0,92.0,176.0,3224.0,11.0,329.0,2.0,3116.0,0.2,7.6,1.2,2.3,42.8,0.1,4.4,0.0,41.3,863.0,11.4,20,1952.0,25.9,2141.0,28.7,13.0,0.0,1001.0
312,Glenn County Office of Education (Glenn),11-10116-0000000,,95.0,19.9,477.0,45.0,12.0,3.0,29.0,2.0,232.0,2.0,14.0,2.0,181.0,2.5,0.6,6.1,0.4,48.6,0.4,2.9,0.4,37.9,65.0,13.6,redacted,253.0,53.0,51.0,,17.0,1.0,96.0
313,Gold Oak Union Elementary (El Dorado),09-61879-0000000,456.0,8.0,1.7,476.0,17.0,8.0,1.0,7.0,0.0,48.0,1.0,6.0,0.0,405.0,1.7,0.2,1.5,0.0,10.1,0.2,1.3,0.0,85.1,10.0,2.1,redacted,161.0,33.8,164.0,37.9,2.0,0.0,52.0
314,Gold Trail Union Elementary (El Dorado),09-61887-0000000,654.0,19.0,2.8,685.0,19.0,11.0,2.0,6.0,1.0,77.0,4.0,19.0,1.0,564.0,1.6,0.3,0.9,0.1,11.2,0.6,2.8,0.1,82.3,2.0,0.3,redacted,193.0,28.2,199.0,30.0,57.0,0.0,79.0
315,Golden Feather Union Elementary (Butte),04-61457-0000000,96.0,7.0,3.5,198.0,29.0,6.0,2.0,0.0,1.0,32.0,0.0,12.0,3.0,142.0,3.0,1.0,0.0,0.5,16.2,0.0,6.1,1.5,71.7,3.0,1.5,redacted,141.0,71.2,92.0,79.8,4.0,0.0,29.0
316,Golden Plains Unified (Fresno),10-75234-0000000,1619.0,977.0,57.2,1709.0,3.0,1.0,6.0,13.0,0.0,1664.0,0.0,1.0,0.0,24.0,0.1,0.4,0.8,0.0,97.4,0.0,0.1,0.0,1.4,433.0,25.3,redacted,1587.0,92.9,1652.0,95.8,105.0,94.0,135.0
317,Golden Valley Unified (Madera),20-75580-0000000,1820.0,91.0,4.9,1875.0,40.0,18.0,42.0,22.0,8.0,761.0,0.0,33.0,9.0,982.0,1.0,2.2,1.2,0.4,40.6,0.0,1.8,0.5,52.4,173.0,9.2,37,650.0,34.7,688.0,36.9,4.0,0.0,178.0
318,Goleta Union Elementary (Santa Barbara),42-69195-0000000,3431.0,1060.0,29.7,3571.0,45.0,4.0,234.0,29.0,30.0,1791.0,1.0,184.0,25.0,1273.0,0.1,6.6,0.8,0.8,50.2,0.0,5.2,0.7,35.6,342.0,9.6,redacted,1355.0,37.9,1660.0,48.4,53.0,0.0,267.0
319,Gonzales Unified (Monterey),27-75473-0000000,2294.0,1144.0,47.2,2424.0,4.0,9.0,0.0,3.0,11.0,2348.0,5.0,5.0,0.0,43.0,0.4,0.0,0.1,0.5,96.9,0.2,0.2,0.0,1.8,724.0,29.9,redacted,2004.0,82.7,2146.0,87.0,68.0,307.0,219.0
320,Gorman Joint (Los Angeles),19-64584-0000000,84.0,63.0,2.5,2491.0,45.0,9.0,74.0,99.0,34.0,796.0,7.0,132.0,92.0,1248.0,0.4,3.0,4.0,1.4,32.0,0.3,5.3,3.7,50.1,80.0,3.2,redacted,890.0,35.7,59.0,65.0,0.0,0.0,108.0
321,Grant Elementary (Shasta),45-70003-0000000,620.0,3.0,0.5,637.0,26.0,11.0,13.0,3.0,3.0,71.0,1.0,49.0,0.0,486.0,1.7,2.0,0.5,0.5,11.1,0.2,7.7,0.0,76.3,1.0,0.2,redacted,69.0,10.8,72.0,12.6,7.0,0.0,37.0
322,Grass Valley Elementary (Nevada),29-66332-0000000,1162.0,132.0,7.6,1736.0,26.0,59.0,27.0,24.0,8.0,303.0,4.0,2.0,16.0,1293.0,3.4,1.6,1.4,0.5,17.5,0.2,0.1,0.9,74.5,30.0,1.7,14,953.0,54.9,840.0,69.5,39.0,0.0,222.0
323,Gratton Elementary (Stanislaus),50-71084-0000000,136.0,3.0,2.2,135.0,24.0,2.0,4.0,2.0,1.0,18.0,0.0,2.0,0.0,106.0,1.5,3.0,1.5,0.7,13.3,0.0,1.5,0.0,78.5,4.0,3.0,redacted,20.0,14.8,5.0,23.5,0.0,0.0,1.0
324,Gravenstein Union Elementary (Sonoma),49-70714-0000000,691.0,50.0,6.9,727.0,36.0,4.0,28.0,2.0,6.0,137.0,2.0,69.0,2.0,477.0,0.6,3.9,0.3,0.8,18.8,0.3,9.5,0.3,65.6,11.0,1.5,redacted,110.0,15.1,11.0,33.6,1.0,0.0,54.0
325,Graves Elementary (Monterey),27-66027-0000000,43.0,5.0,10.9,46.0,30.0,0.0,2.0,0.0,1.0,33.0,1.0,1.0,0.0,8.0,0.0,4.3,0.0,2.2,71.7,2.2,2.2,0.0,17.4,10.0,21.7,redacted,0.0,0.0,12.0,34.7,0.0,0.0,0.0
326,Green Point Elementary (Humboldt),12-62851-0000000,10.0,,,11.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,0.0,90.9,0.0,0.0,redacted,11.0,100.0,11.0,86.2,0.0,0.0,3.0
327,Greenfield Union (Kern),15-63503-0000000,8995.0,2486.0,26.6,9361.0,20.0,30.0,171.0,659.0,37.0,7722.0,5.0,115.0,0.0,622.0,0.3,1.8,7.0,0.4,82.5,0.1,1.2,0.0,6.6,2410.0,25.7,56,7995.0,85.4,8262.0,87.9,44.0,431.0,743.0
328,Greenfield Union Elementary (Monterey),27-66035-0000000,3363.0,2194.0,62.3,3522.0,2.0,3.0,4.0,6.0,9.0,3448.0,4.0,2.0,1.0,45.0,0.1,0.1,0.2,0.3,97.9,0.1,0.1,0.0,1.3,699.0,19.8,redacted,3110.0,88.3,3282.0,92.5,546.0,235.0,296.0
329,Grenada Elementary (Siskiyou),47-70326-0000000,189.0,,,201.0,21.0,5.0,0.0,2.0,0.0,15.0,0.0,15.0,0.0,164.0,2.5,0.0,1.0,0.0,7.5,0.0,7.5,0.0,81.6,1.0,0.5,redacted,119.0,59.2,117.0,59.5,0.0,0.0,8.0
330,Gridley Unified (Butte),04-75507-0000000,1917.0,343.0,17.0,2021.0,36.0,7.0,52.0,7.0,0.0,1161.0,5.0,10.0,71.0,708.0,0.3,2.6,0.3,0.0,57.4,0.2,0.5,3.5,35.0,442.0,21.9,15,560.0,27.7,786.0,59.7,1.0,11.0,166.0
331,Grossmont Union High (San Diego),37-68130-0000000,15724.0,2364.0,10.9,21709.0,50.0,136.0,479.0,1477.0,337.0,8403.0,111.0,1500.0,17.0,9249.0,0.6,2.2,6.8,1.6,38.7,0.5,6.9,0.1,42.6,4932.0,22.7,67,11552.0,53.2,9701.0,58.4,282.0,2.0,2932.0
332,Guadalupe Union Elementary (Santa Barbara),42-69203-0000000,1168.0,718.0,56.1,1280.0,4.0,3.0,2.0,6.0,5.0,1238.0,0.0,3.0,0.0,23.0,0.2,0.2,0.5,0.4,96.7,0.0,0.2,0.0,1.8,185.0,14.5,redacted,1152.0,90.0,1212.0,93.1,0.0,230.0,106.0
