,District Name,CDS Number (District),Average Daily Attendance (ADA) (District),English Learners # (District),English Learners % (District),Enrollment (District),Ethnic Diversity Index (District),American Indian or Alaska Native # (District),Asian # (District),Black or African American # (District),Filipino # (District),Hispanic or Latino # (District),Native Hawaiian or Pac Islander # (District),Two or More Races # (District),None Reported # (District),White # (District),American Indian or Alaska Native % (District),Asian % (District),Black or African American % (District),Filipino % (District),Hispanic or Latino % (District),Native Hawaiian or Pac Islander % (District),Two or More Races % (District),None Reported % (District),White % (District),Fluent English Proficient (FEP) # (District),Fluent English Proficient (FEP) % (District),Foster Youth # (District),Free/Reduced Meals # (District),Free/Reduced Meals % (District),FRPM/EL/Foster Undupl # (District),FRPM/EL/Foster Undupl % (District),Homeless # (District),Migrant # (District),Special Education # (District)
870,Solano County Office of Education (Solano),48-10488-0000000,,57.0,12.8,447.0,63.0,4.0,17.0,76.0,21.0,149.0,5.0,35.0,6.0,134.0,0.9,3.8,17.0,4.7,33.3,1.1,7.8,1.3,30.0,36.0,8.1,redacted,205.0,44.8,219.0,,3.0,0.0,361.0
871,Soledad Unified (Monterey),27-75440-0000000,4618.0,2050.0,42.2,4856.0,5.0,8.0,34.0,19.0,44.0,4624.0,8.0,12.0,4.0,103.0,0.2,0.7,0.4,0.9,95.2,0.2,0.2,0.1,2.1,1447.0,29.8,15,4366.0,89.9,4457.0,89.1,87.0,164.0,583.0
872,Solvang Elementary (Santa Barbara),42-69336-0000000,554.0,165.0,27.9,591.0,37.0,4.0,2.0,6.0,5.0,313.0,0.0,4.0,12.0,245.0,0.7,0.3,1.0,0.8,53.0,0.0,0.7,2.0,41.5,85.0,14.4,redacted,297.0,50.3,320.0,57.3,4.0,0.0,72.0
873,Somis Union (Ventura),56-72611-0000000,247.0,91.0,35.1,259.0,34.0,0.0,0.0,0.0,3.0,164.0,0.0,11.0,0.0,81.0,0.0,0.0,0.0,1.2,63.3,0.0,4.2,0.0,31.3,36.0,13.9,redacted,152.0,58.7,156.0,69.0,0.0,0.0,19.0
874,Sonoma County Office of Education (Sonoma),49-10496-0000000,,112.0,19.5,575.0,46.0,20.0,8.0,33.0,4.0,276.0,1.0,11.0,1.0,221.0,3.5,1.4,5.7,0.7,48.0,0.2,1.9,0.2,38.4,101.0,17.6,69,216.0,36.8,290.0,,7.0,0.0,468.0
875,Sonoma Valley Unified (Sonoma),49-70953-0000000,3855.0,1438.0,31.5,4564.0,37.0,18.0,78.0,24.0,28.0,2615.0,9.0,60.0,62.0,1670.0,0.4,1.7,0.5,0.6,57.3,0.2,1.3,1.4,36.6,939.0,20.6,redacted,2607.0,57.1,2556.0,61.9,4.0,74.0,633.0
876,Sonora Elementary (Tuolumne),55-72371-0000000,698.0,39.0,5.4,728.0,29.0,6.0,18.0,3.0,16.0,116.0,2.0,31.0,5.0,531.0,0.8,2.5,0.4,2.2,15.9,0.3,4.3,0.7,72.9,18.0,2.5,redacted,297.0,40.8,313.0,44.7,8.0,0.0,74.0
877,Sonora Union High (Tuolumne),55-72389-0000000,954.0,9.0,0.8,1068.0,29.0,16.0,10.0,10.0,7.0,211.0,4.0,39.0,2.0,769.0,1.5,0.9,0.9,0.7,19.8,0.4,3.7,0.2,72.0,55.0,5.1,redacted,418.0,39.1,420.0,41.0,11.0,0.0,106.0
878,Soquel Union Elementary (Santa Cruz),44-69849-0000000,1884.0,219.0,11.1,1981.0,40.0,9.0,32.0,12.0,15.0,631.0,3.0,128.0,0.0,1151.0,0.5,1.6,0.6,0.8,31.9,0.2,6.5,0.0,58.1,163.0,8.2,redacted,666.0,33.6,711.0,36.0,1.0,0.0,219.0
879,Soulsbyville Elementary (Tuolumne),55-72397-0000000,477.0,8.0,1.6,494.0,27.0,5.0,0.0,2.0,1.0,82.0,0.0,33.0,0.0,371.0,1.0,0.0,0.4,0.2,16.6,0.0,6.7,0.0,75.1,7.0,1.4,redacted,214.0,43.3,214.0,45.0,20.0,0.0,70.0
