,District Name,CDS Number (District),American Indian or Alaska Native (CAASPP-Math Levels 3 and 4) (District),Asian (CAASPP-Math Levels 3 and 4) (District),Black or African American (CAASPP-Math Levels 3 and 4) (District),Filipino (CAASPP-Math Levels 3 and 4) (District),Hispanic or Latino (CAASPP-Math Levels 3 and 4) (District),Native Hawaiian or Pac Islandr (CAASPP-Math Levels 3 and 4) (District),Two or More Races (CAASPP-Math Levels 3 and 4) (District),White (CAASPP-Math Levels 3 and 4) (District),Males (CAASPP-Math Levels 3 and 4) (District),Females (CAASPP-Math Levels 3 and 4) (District),CAASPP-Math Standard Exceeded or Met (Levels 3 and 4) (District),CAASPP-Math Standard Exceeded (Level 4) (District),CAASPP-Math Standard Met (Level 3) (District),CAASPP-Math Standard Nearly Met (Level 2) (District),CAASPP-Math Standard Not Met (Level 1) (District)
27,Anderson Union High (Shasta),45-69856-0000000,31.8,redacted,redacted,redacted,17.9,redacted,redacted,30.7,26.3,30.1,28,6.3,21.8,30,42
28,Anderson Valley Unified (Mendocino),23-65540-0000000,redacted,,redacted,,21.7,,redacted,51.9,32.8,22.1,27.7,8.7,19,35.2,37.2
29,Antelope Elementary (Tehama),52-71472-0000000,30.8,redacted,redacted,redacted,35.2,redacted,73.3,49.6,50.2,43.1,46.4,19.1,27.3,29.1,24.5
30,Antelope Valley Union High (Los Angeles),19-64246-0000000,5.3,64.2,6.3,45.5,12.1,redacted,21,26.2,14.2,15.1,14.7,4,10.6,22.2,63.1
31,Antioch Unified (Contra Costa),07-61648-0000000,12.7,38.6,10.5,42.4,16.7,25.2,27.6,28.2,19.5,19.8,19.7,5.5,14.2,27.6,52.7
32,Apple Valley Unified (San Bernardino),36-75077-0000000,28.6,55.7,10.7,46.2,18.7,22.6,27.6,32.2,24.9,23.6,24.2,8.5,15.8,29.7,46
33,Arcadia Unified (Los Angeles),19-64261-0000000,redacted,85.6,48.2,66.7,42.9,redacted,55.3,68.3,76.4,75,75.7,53.8,21.9,14.9,9.4
34,Arcata Elementary (Humboldt),12-62679-0000000,30,redacted,redacted,,25,redacted,41.9,45,41.4,39.2,40.2,18.1,22.2,33.4,26.3
35,Arcohe Union Elementary (Sacramento),34-67280-0000000,redacted,redacted,redacted,redacted,33.9,redacted,50,52.6,38.8,44.5,41.5,19.3,22.2,33.1,25.5
36,Arena Union Elementary (Mendocino),23-65557-0000000,26.3,,,,23.9,,redacted,35.1,31.9,21.8,27,7.3,19.7,24.7,48.3
37,Arena Union Elementary/Point Arena Joint Union High (Mendocino),23-76349-0000000,,,,,,,,,,,,,,,
38,Armona Union Elementary (Kings),16-63875-0000000,redacted,redacted,12.5,redacted,20.1,,redacted,17.3,20,20,20,5.4,14.6,26.9,53.1
39,Aromas/San Juan Unified (San Benito),35-75259-0000000,,redacted,,redacted,24.6,,redacted,39.5,29.4,28.8,29.1,9.4,19.7,30.6,40.3
40,Arvin Union (Kern),15-63313-0000000,redacted,redacted,redacted,redacted,21,,redacted,28.8,19.9,22.8,21.3,7.1,14.2,27.6,51.1
41,Atascadero Unified (San Luis Obispo),40-68700-0000000,35.7,60,22.9,59.3,24.2,redacted,39.5,42.7,38.7,36.4,37.6,14.4,23.2,31.3,31.2
42,Atwater Elementary (Merced),24-65631-0000000,17.7,50,25.3,57.1,30.6,33.3,35.8,42.6,33.5,33.9,33.7,13,20.7,30.2,36.1
43,Auburn Union Elementary (Placer),31-66787-0000000,16.7,37.5,31.3,31.3,17.1,redacted,26.3,33.6,28.6,27.5,28,10.9,17.1,34.8,37.2
44,Azusa Unified (Los Angeles),19-64279-0000000,redacted,59,10.4,64.4,23.3,,22.2,38.8,24,24.8,24.4,8,16.4,29.1,46.5
45,Baker Valley Unified (San Bernardino),36-73858-0000000,,,,,14.3,,,redacted,12.5,15.6,13.9,1.4,12.5,30.6,55.6
46,Bakersfield City (Kern),15-63321-0000000,22.3,43.2,12.9,50.7,22.4,17.4,30.2,39.4,24.2,22.9,23.6,8.5,15.1,27.3,49.2
47,Baldwin Park Unified (Los Angeles),19-64287-0000000,18.2,70.8,26.3,47.1,22.8,redacted,,22.7,26,25.9,25.9,8.6,17.3,31.2,42.9
48,Ballard Elementary (Santa Barbara),42-69104-0000000,,redacted,redacted,,75,,,75.9,70.3,83.3,76.7,45.2,31.5,17.8,5.5
49,Ballico-Cressey Elementary (Merced),24-65649-0000000,redacted,redacted,redacted,,28.5,,redacted,50.8,37.1,35.4,36.4,13.8,22.5,34.8,28.9
50,Bangor Union Elementary (Butte),04-61382-0000000,redacted,redacted,,,redacted,,redacted,29.6,23.3,26.9,25,7.1,17.9,26.8,48.2
51,Banning Unified (Riverside),33-66985-0000000,1.4,21.4,13.6,35.7,16.8,redacted,29.5,20.7,17.1,17.5,17.3,4.4,12.9,26.3,56.4
52,Banta Elementary (San Joaquin),39-68486-0000000,,57.8,26.7,69.2,23.4,redacted,41.2,31.7,34.8,34.5,34.7,11.6,23,30.5,34.9
53,Barstow Unified (San Bernardino),36-67611-0000000,18.8,42.3,10.4,55.6,19.5,35,25.9,29.4,21.1,20.4,20.8,7.2,13.6,26.6,52.6
54,Bass Lake Joint Union Elementary (Madera),20-65185-0000000,redacted,redacted,redacted,redacted,21.9,redacted,27.3,44.7,40.1,38.2,39.2,12.3,26.9,33.9,26.9
55,Bassett Unified (Los Angeles),19-64295-0000000,redacted,67.2,redacted,54.2,27.5,redacted,,22.2,28.8,29.1,28.9,10.4,18.5,29.9,41.2
56,Bayshore Elementary (San Mateo),41-68858-0000000,,44.7,redacted,28.6,13.4,21.4,redacted,redacted,20.8,23.9,22.3,10.7,11.6,24.8,52.9
57,Bear Valley Unified (San Bernardino),36-67637-0000000,redacted,54.6,redacted,,15.5,redacted,32.5,35.9,27.8,28.8,28.3,10.5,17.8,27.6,44.1
58,Beardsley Elementary (Kern),15-63339-0000000,redacted,redacted,6.7,redacted,16.6,redacted,24.3,23,20.5,19,19.8,4.7,15.2,32.3,47.9
59,Beaumont Unified (Riverside),33-66993-0000000,22.2,65.8,19.4,58.3,27.2,35.7,48.9,41.3,34.2,33.6,33.9,13.5,20.4,28.4,37.7
60,Bella Vista Elementary (Shasta),45-69872-0000000,45.5,redacted,redacted,redacted,11.1,redacted,redacted,41.2,29.4,45.4,37.8,15.3,22.5,27.7,34.5
61,Belleview Elementary (Tuolumne),55-72306-0000000,redacted,,redacted,,15.8,redacted,redacted,18.8,23.9,15.1,19.2,5.1,14.1,48.5,32.3
62,Bellevue Union (Sonoma),49-70615-0000000,redacted,43.3,23.1,redacted,27.9,,27.3,32.2,29,27.9,28.5,10.6,17.9,30.5,41.1
63,Bellflower Unified (Los Angeles),19-64303-0000000,13.6,61.5,22.1,56.4,24,35.6,33.9,44.5,29.1,29.1,29.1,10.5,18.6,30.3,40.6
64,Belmont-Redwood Shores Elementary (San Mateo),41-68866-0000000,redacted,88.9,24.5,68.7,43.4,57.1,80.5,75.4,74.2,74.9,74.5,51.5,23,17.3,8.2
65,Belridge Elementary (Kern),15-63347-0000000,,,,,39.1,,,,38.5,redacted,39.1,13,26.1,34.8,26.1
66,Benicia Unified (Solano),48-70524-0000000,53.9,81.6,23.7,70.4,40.9,redacted,54.1,59.3,54.1,53,53.5,24.1,29.5,26.9,19.6
67,Bennett Valley Union Elementary (Sonoma),49-70623-0000000,redacted,68,54.6,redacted,39,redacted,71.4,60.6,59.3,54.7,57.2,26.4,30.9,30.7,12.1
68,Berkeley Unified (Alameda),01-61143-0000000,redacted,60.4,18.4,60,38.6,redacted,65.1,80,58.6,55.8,57.3,33.4,23.9,19.9,22.8
69,Berryessa Union Elementary (Santa Clara),43-69377-0000000,redacted,74.2,30.3,47.2,23.4,14.8,51.3,56.9,55.4,55,55.2,32.3,22.9,24.3,20.5
70,Beverly Hills Unified (Los Angeles),19-64311-0000000,redacted,81.7,37.1,61.1,60.9,redacted,59.5,65,64.9,65.9,65.4,36.9,28.5,21.5,13.1
71,Big Creek Elementary (Fresno),10-62026-0000000,,,,,50,,,39.1,43.8,42.1,42.9,20,22.9,25.7,31.4
72,Big Lagoon Union Elementary (Humboldt),12-62695-0000000,redacted,,,,redacted,,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted
73,Big Oak Flat-Groveland Unified (Tuolumne),55-75184-0000000,,redacted,redacted,redacted,11.1,,redacted,14.6,15.9,11.5,13.6,0.7,12.9,29.3,57.1
74,Big Pine Unified (Inyo),14-63248-0000000,10.5,,,,19.1,,redacted,28,25.5,10.8,19.3,4.6,14.8,31.8,48.9
75,Big Springs Union Elementary (Siskiyou),47-70185-0000000,redacted,redacted,,,4.4,,redacted,47.4,32.8,44.9,37.9,11.2,26.7,25.9,36.2
76,Big Sur Unified (Monterey),27-75150-0000000,,redacted,,,redacted,,,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted
77,Big Valley Joint Unified (Lassen),18-64089-0000000,redacted,,,,redacted,,,10.7,12.1,5.9,9,1.5,7.5,28.4,62.7
78,Biggs Unified (Butte),04-61408-0000000,redacted,redacted,redacted,,11.4,redacted,redacted,19.7,13.3,17.1,15.1,2.1,13.1,30.9,54
79,Bishop Unified (Inyo),14-76687-0000000,18.7,53.9,redacted,redacted,21.8,,45.7,54.9,38.1,33.9,36.2,14.6,21.6,27.1,36.8
80,Bitterwater-Tully Elementary (San Benito),35-67454-0000000,,,,,redacted,,,30.8,redacted,26.7,27.8,11.1,16.7,44.4,27.8
81,Black Butte Union Elementary (Shasta),45-69880-0000000,redacted,redacted,,redacted,45.5,redacted,redacted,26.7,16.7,43.1,30.4,11.2,19.2,32,37.6
82,Black Oak Mine Unified (El Dorado),09-73783-0000000,10.5,redacted,redacted,,19.7,,redacted,28.3,28.3,26.1,27.2,7.5,19.7,35.2,37.6
83,Blake Elementary (Kern),15-63354-0000000,,,,,redacted,,,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted
84,Blochman Union Elementary (Santa Barbara),42-69112-0000000,redacted,redacted,,,20.8,,redacted,50,43.9,30.8,36.9,16.4,20.5,28.7,34.4
85,Blue Lake Union Elementary (Humboldt),12-62703-0000000,0,,,,18.8,,25,27.4,25.9,16.7,21.3,6.5,14.8,34.3,44.4
86,Bogus Elementary (Siskiyou),47-70193-0000000,,,,,,,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted
87,Bolinas-Stinson Union (Marin),21-65300-0000000,,redacted,,,53.3,,redacted,57.6,52.9,54.3,53.9,25,28.9,26.9,19.2
88,Bonita Unified (Los Angeles),19-64329-0000000,35.7,81.5,32.9,73,46.7,redacted,59.6,61.5,52.9,55.2,54,27.3,26.7,27,19
89,Bonny Doon Union Elementary (Santa Cruz),44-69732-0000000,redacted,redacted,,,redacted,,redacted,47.7,51,44.4,47.9,17,30.9,37.2,14.9
90,Bonsall Unified (San Diego),37-76851-0000000,20.4,89.6,52,87.1,45.7,redacted,66.7,72,61,59.7,60.4,31,29.4,22.9,16.7
91,Borrego Springs Unified (San Diego),37-67983-0000000,redacted,,redacted,redacted,14.7,,redacted,31.4,18,17.9,17.9,6.1,11.8,31.1,50.9
92,Bradley Union Elementary (Monterey),27-65979-0000000,,redacted,,,11.1,,redacted,45.2,23.1,44,33.3,13.7,19.6,23.5,43.1
93,Brawley Elementary (Imperial),13-63073-0000000,,redacted,16,redacted,24.5,redacted,redacted,36.4,26.6,23.7,25.1,7.7,17.5,32.3,42.6
94,Brawley Union High (Imperial),13-63081-0000000,,redacted,redacted,redacted,22.2,,redacted,40,24.5,23.7,24.1,6.6,17.5,26.1,49.8
95,Brea-Olinda Unified (Orange),30-66449-0000000,redacted,86.5,39.3,76.6,45,64.3,77.6,63.2,62.2,61.7,62,35.4,26.6,22.4,15.6
96,Brentwood Union Elementary (Contra Costa),07-61655-0000000,42.1,68.9,32.7,68.3,38.8,40.5,55.7,57.3,51.3,50.4,50.8,24.2,26.6,28.4,20.8
97,Bret Harte Union High (Calaveras),05-61556-0000000,redacted,redacted,,redacted,25.9,,redacted,43.9,41.3,40,40.7,13.3,27.3,22,37.3
98,Bridgeville Elementary (Humboldt),12-62729-0000000,,,,,redacted,,redacted,redacted,redacted,redacted,33.3,16.7,16.7,50,16.7
99,Briggs Elementary (Ventura),56-72447-0000000,,,,,26.4,,redacted,31.8,32.1,20.8,26.6,8.4,18.2,32,41.4
100,Brisbane Elementary (San Mateo),41-68874-0000000,,58.7,redacted,47.8,34.9,redacted,60.7,57.8,53.8,47,50.3,24,26.4,29.4,20.3
101,Brittan Elementary (Sutter),51-71357-0000000,redacted,,,,29,,42.4,39.9,35.8,39.6,37.5,11.5,26,28,34.5
102,Browns Elementary (Sutter),51-71365-0000000,,redacted,redacted,,32.6,redacted,redacted,42.3,34,40.4,37.4,9.4,28,36.5,26.2
103,Buckeye Union Elementary (El Dorado),09-61838-0000000,redacted,80.1,45.2,64.2,51.8,58.3,66.4,65.1,64.8,63.5,64.2,33.2,30.9,23.9,12
104,Buellton Union Elementary (Santa Barbara),42-69138-0000000,redacted,redacted,redacted,,50,,68.8,73.7,62,61.7,61.8,31.3,30.5,22.7,15.5
105,Buena Park Elementary (Orange),30-66456-0000000,redacted,75.2,24.8,64,26.4,16.7,34.8,47.9,37.3,36.7,37,16.7,20.3,28,35
106,Buena Vista Elementary (Tulare),54-71829-0000000,,,redacted,,39.3,,redacted,42.6,40.6,40.3,40.4,19.9,20.6,32.4,27.2
107,Burbank Unified (Los Angeles),19-64337-0000000,38.5,76.1,31.4,63.9,33.5,53.9,58.4,54.6,47.4,48.4,47.9,22.1,25.9,27.8,24.3
108,Burlingame Elementary (San Mateo),41-68882-0000000,redacted,91.3,52.9,64.2,47.6,redacted,85.1,77.2,73.7,76.8,75.2,50.9,24.3,15.9,8.9
109,Burnt Ranch Elementary (Trinity),53-71662-0000000,43.5,redacted,redacted,,58.3,,,39.1,45.2,51.6,48.4,17.7,30.7,32.3,19.4
110,Burrel Union Elementary (Fresno),10-62042-0000000,,redacted,,,30.3,,,redacted,29.6,32.1,30.6,4.2,26.4,34.7,34.7
111,Burton Elementary (Tulare),54-71837-0000000,23.3,44.2,30.4,34.6,18,redacted,38.1,33.8,23.5,22.4,23,7.8,15.2,31.2,45.9
112,Butte County Office of Education (Butte),04-10041-0000000,0,redacted,redacted,redacted,3.9,,7.7,7.9,6.6,5.2,5.9,1.1,4.8,25.7,68.5
113,Butte Valley Unified (Siskiyou),47-73684-0000000,redacted,redacted,,,20,,redacted,25.3,19.5,29.4,23.9,11,12.9,31,45.2
114,Butteville Union Elementary (Siskiyou),47-70201-0000000,redacted,,redacted,,40.9,,41.2,49,53.2,38.1,46.5,17.6,28.9,31,22.5
115,Buttonwillow Union Elementary (Kern),15-63370-0000000,redacted,redacted,redacted,,10.8,,redacted,26.3,13.9,12.7,13.3,2.9,10.4,36.3,50.4
116,Byron Union Elementary (Contra Costa),07-61663-0000000,37.5,54.7,36.2,redacted,41.6,56.5,44,52.9,46.4,52.4,49.4,24.8,24.6,27.7,22.9
117,Cabrillo Unified (San Mateo),41-68890-0000000,redacted,62.1,redacted,42.1,15.9,redacted,66.1,53.9,34.4,34,34.2,13,21.2,28.4,37.4
118,Cajon Valley Union (San Diego),37-67991-0000000,33.3,47,17.7,47.4,25.1,43.3,40.2,37.7,33.2,31.6,32.5,13.5,18.9,27.1,40.4
119,Calaveras County Office of Education (Calaveras),05-10058-0000000,redacted,redacted,redacted,,11.6,redacted,13.6,22,20.3,17.6,19.1,7.4,11.7,29.3,51.6
120,Calaveras Unified (Calaveras),05-61564-0000000,10.3,41.2,18.2,redacted,18.3,redacted,34.4,29.2,26.2,27.8,27,8.4,18.6,32.4,40.6
121,Calexico Unified (Imperial),13-63099-0000000,redacted,52.9,redacted,,18.4,,,31.6,18.3,18.8,18.5,5.2,13.3,27.7,53.7
122,Caliente Union Elementary (Kern),15-63388-0000000,,,,,redacted,,redacted,25,37.5,10.5,22.9,8.6,14.3,20,57.1
123,Calipatria Unified (Imperial),13-63107-0000000,,redacted,12.5,redacted,26.6,,redacted,29.8,27,25.9,26.5,10.1,16.4,30.5,43.1
124,Calistoga Joint Unified (Napa),28-66241-0000000,redacted,redacted,,redacted,27.9,,,64.9,37.8,28.8,33.3,12.4,20.9,36.5,30.3
125,Cambrian (Santa Clara),43-69385-0000000,33.3,81.2,42.2,47.7,31.6,27.3,69.7,60.7,57.3,55.3,56.3,31.7,24.6,24.6,19.1
126,Camino Union Elementary (El Dorado),09-61846-0000000,redacted,,,,24.8,,20,50,31.7,43.4,37.9,14.5,23.4,35.6,26.6
127,Campbell Union (Santa Clara),43-69393-0000000,42.9,81.4,32.1,55.8,27.2,36.7,71,68.1,47.6,49.1,48.3,27.4,21,23.1,28.6
128,Campbell Union High (Santa Clara),43-69401-0000000,redacted,80.4,18.6,35.6,21.1,33.3,70.9,54.9,44.5,48.7,46.5,23.5,23,21.7,31.8
129,Camptonville Elementary (Yuba),58-72728-0000000,redacted,,,,redacted,,redacted,53.6,70.8,35.7,57.9,21.1,36.8,23.7,18.4
130,Canyon Elementary (Contra Costa),07-61671-0000000,,redacted,redacted,,redacted,,redacted,64.5,64,71.4,67.4,41.3,26.1,21.7,10.9
131,Capay Joint Union Elementary (Glenn),11-62554-0000000,,redacted,,,24.6,,redacted,57.5,45,43.4,44.1,17.7,26.5,27.2,28.7
132,Capistrano Unified (Orange),30-66464-0000000,51,85.7,38,70.4,35.7,51.5,71.5,66.4,60.4,58.6,59.5,33.4,26.1,22.2,18.2
133,Cardiff Elementary (San Diego),37-68007-0000000,,redacted,,,43.4,,90.5,79,72.5,72.7,72.6,44.7,27.9,19.5,7.9
134,Carlsbad Unified (San Diego),37-73551-0000000,50,88.3,38.7,79,44.4,72.7,75.5,71.2,66,63.3,64.7,38.9,25.8,21.3,14
135,Carmel Unified (Monterey),27-65987-0000000,redacted,85,redacted,redacted,48.4,redacted,69.3,73.7,69.8,67.7,68.8,40.2,28.6,19.7,11.5
136,Carpinteria Unified (Santa Barbara),42-69146-0000000,redacted,80,redacted,redacted,34,,66.7,59.6,38.3,43.2,40.6,14.3,26.3,28.3,31.1
137,Caruthers Unified (Fresno),10-75598-0000000,redacted,46.2,redacted,,29.3,redacted,redacted,41,30.3,32.9,31.6,10.9,20.7,29,39.4
138,Cascade Union Elementary (Shasta),45-69914-0000000,23.5,34.8,0,redacted,23.7,redacted,12.5,28.5,26.4,26.2,26.3,9,17.3,29.8,44
139,Castaic Union (Los Angeles),19-64345-0000000,redacted,70.6,27.3,47.4,28.9,redacted,74.5,54,45.1,42,43.6,16.4,27.2,33,23.4
140,Castle Rock Union Elementary (Shasta),45-69922-0000000,redacted,,redacted,,redacted,,redacted,33.3,37.5,43.8,40.6,18.8,21.9,31.3,28.1
141,Castro Valley Unified (Alameda),01-61150-0000000,redacted,80.6,33.6,58.5,42.5,50,66.4,61.3,61,60.8,60.9,35.5,25.4,21.8,17.3
142,Cayucos Elementary (San Luis Obispo),40-68726-0000000,,redacted,,redacted,38.2,,66.7,47.7,50,45.6,47.5,20.9,26.6,34.5,18
143,Center Joint Unified (Sacramento),34-73973-0000000,31.3,52.6,18.9,58.1,27.3,15,30.2,40.5,35.9,34.1,35,11.9,23.1,29.3,35.7
144,Centinela Valley Union High (Los Angeles),19-64352-0000000,redacted,48.8,12.1,21.4,14.7,14.3,5.7,19.4,14.2,16.2,15.1,3,12.1,24.2,60.8
145,Central Elementary (San Bernardino),36-67645-0000000,redacted,70.9,26.5,61.1,32.6,16.7,42,47.8,38.8,38.8,38.8,14.3,24.5,31.8,29.4
146,Central Unified (Fresno),10-73965-0000000,31.8,39.1,15.3,45.7,23.7,38.1,36.9,42.8,28.7,28.3,28.5,10,18.5,29.7,41.8
147,Central Union Elementary (Kings),16-63883-0000000,13.6,46.2,27.7,61.4,31.6,redacted,39.3,53.3,39.6,37.9,38.7,14,24.7,29.6,31.8
148,Central Union High (Imperial),13-63115-0000000,,83.3,redacted,,24.8,,redacted,40.6,29.1,23,26,6.3,19.7,23.6,50.4
149,Centralia Elementary (Orange),30-66472-0000000,redacted,83,32.9,79.9,42,52.6,57.7,57.1,54.1,54.3,54.2,29.2,25,25.1,20.7
150,Ceres Unified (Stanislaus),50-71043-0000000,15.4,42.6,10.6,45.7,18.6,35.2,21.3,23.6,20.4,20.8,20.6,5,15.6,32.3,47.1
151,Chaffey Joint Union High (San Bernardino),36-67652-0000000,29.2,78.2,25.9,68.1,29.2,29,45,46.4,37.4,35.3,36.4,14.4,22,26,37.7
152,Charter Oak Unified (Los Angeles),19-64378-0000000,33.3,75,30,70,34.8,75,54.9,52.2,43.1,39.8,41.5,17.9,23.6,28.8,29.7
153,Chatom Union (Stanislaus),50-71050-0000000,,,,,20.4,redacted,redacted,42.7,28.7,24.4,26.5,8.3,18.2,33.5,40
154,Chawanakee Unified (Madera),20-75606-0000000,8.8,redacted,redacted,,15.3,,16.7,33.2,27.3,23.4,25.3,8,17.3,33.6,41.1
155,Chicago Park Elementary (Nevada),29-66316-0000000,redacted,redacted,,redacted,43.8,,redacted,45.1,45.8,39.6,43.3,12.5,30.8,30.8,25.8
156,Chico Unified (Butte),04-61424-0000000,30.9,43,29.7,56.3,28.2,51.5,34.1,50.3,43.9,41.4,42.7,18.3,24.3,26.4,30.9
157,Chino Valley Unified (San Bernardino),36-67678-0000000,9.1,81.2,33.4,70,31.9,32.1,62.7,52,44.7,45.4,45,21.6,23.5,27.7,27.3
158,Chowchilla Elementary (Madera),20-65193-0000000,redacted,43.5,17.1,redacted,16.1,redacted,16.1,27.8,20.6,19.7,20.2,4.4,15.7,32,47.9
159,Chowchilla Union High (Madera),20-65201-0000000,redacted,redacted,redacted,,11.5,,redacted,13,8.9,17.7,13.1,0.8,12.2,30.4,56.5
160,Chualar Union (Monterey),27-65995-0000000,,,,,36.5,,,redacted,30.2,44.9,36.6,13.8,22.8,29.9,33.5
161,Chula Vista Elementary (San Diego),37-68023-0000000,54.6,79,43,76.2,43.1,55.6,66.6,62.5,51.9,49.6,50.8,24.2,26.6,27.2,22.1
162,Cienega Union Elementary (San Benito),35-67462-0000000,,,,,36.4,,,66.7,75,25,50,16.7,33.3,25,25
163,Cinnabar Elementary (Sonoma),49-70649-0000000,,redacted,redacted,,25.5,redacted,redacted,41.7,33,29.3,31.2,7.1,24.1,28.2,40.6
164,Claremont Unified (Los Angeles),19-64394-0000000,redacted,76.1,22.2,81,36.6,41.7,61.5,56.7,49.7,48.4,49,23.4,25.7,28.9,22.1
165,Clay Joint Elementary (Fresno),10-62109-0000000,,redacted,,,56.3,,redacted,81.7,74.4,71.3,72.8,50.9,21.9,21.3,5.9
166,Clear Creek Elementary (Nevada),29-66324-0000000,redacted,,,,redacted,,redacted,70.1,67.3,74.5,70.6,42.2,28.4,21.6,7.8
167,Cloverdale Unified (Sonoma),49-70656-0000000,22.7,redacted,redacted,,16.2,,35,37.1,22.6,27.3,24.8,8,16.8,30.6,44.6
168,Clovis Unified (Fresno),10-62117-0000000,45,65.9,38.5,79.9,45.5,58.5,64.5,63.3,56.5,56.7,56.6,28.1,28.4,25.8,17.6
169,Coachella Valley Unified (Riverside),33-73676-0000000,11.3,redacted,6.7,redacted,16.6,,8.3,21.7,17,16.2,16.6,4.4,12.3,26,57.4
170,Coalinga-Huron Unified (Fresno),10-62125-0000000,redacted,34.9,8.7,redacted,12.5,redacted,27.3,21.4,12.2,15.6,13.9,2.6,11.3,24.6,61.5
171,Coast Unified (San Luis Obispo),40-75465-0000000,redacted,redacted,redacted,redacted,32.1,redacted,redacted,56.2,38.7,42.4,40.5,17.8,22.8,34.3,25.2
172,Coffee Creek Elementary (Trinity),53-71670-0000000,,,,,redacted,,,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted
173,Cold Spring Elementary (Santa Barbara),42-69161-0000000,,redacted,redacted,,redacted,,redacted,80.8,92.7,72.6,81.5,57.6,23.9,16.3,2.2
174,Colfax Elementary (Placer),31-66795-0000000,redacted,redacted,redacted,,52.4,,50,41.7,45.6,40,42.9,18.2,24.6,31,26.1
175,College Elementary (Santa Barbara),42-69179-0000000,redacted,redacted,,redacted,29.7,redacted,redacted,47.2,38.2,32.8,35.7,16.8,18.9,32.9,31.5
176,Colton Joint Unified (San Bernardino),36-67686-0000000,15.8,46.2,15.3,50,21.9,14.8,38.3,31,23.1,22.7,22.9,7.5,15.4,28,49.1
177,Columbia Elementary (Shasta),45-69948-0000000,31.3,redacted,redacted,,38.7,,41.7,49.3,46.8,45.9,46.4,20.4,26,32.8,20.8
178,Columbia Union (Tuolumne),55-72348-0000000,redacted,redacted,redacted,redacted,28.6,redacted,,33.3,33.8,32,33.1,9.7,23.4,32.2,34.8
179,Columbine Elementary (Tulare),54-71852-0000000,,redacted,redacted,redacted,48.7,,redacted,redacted,48.3,55.6,52.3,22,30.3,31.8,15.9
180,Colusa County Office of Education (Colusa),06-10066-0000000,redacted,,,redacted,redacted,,,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted
181,Colusa Unified (Colusa),06-61598-0000000,25,redacted,redacted,,27.7,redacted,33.3,47.7,31,35,32.9,9.9,23.1,27.1,40
182,Compton Unified (Los Angeles),19-73437-0000000,6.7,redacted,16.3,redacted,26.4,36.6,23.7,20.3,23.8,25.5,24.6,9.5,15.2,24.7,50.8
183,Conejo Valley Unified (Ventura),56-73759-0000000,55.2,87.4,47.7,63.2,31.2,54.2,73.6,66.4,59.9,58.3,59.1,31.7,27.5,23.1,17.7
184,Contra Costa County Office of Education (Contra Costa),07-10074-0000000,,redacted,2.1,redacted,0,,redacted,3,0.9,7.7,2.1,0.7,1.4,7.6,90.3
185,Corcoran Joint Unified (Kings),16-63891-0000000,redacted,redacted,12,redacted,16.9,,,22.3,16.7,17.6,17.2,4.3,12.9,29.9,53
186,Corning Union Elementary (Tehama),52-71498-0000000,22.7,27.8,46.2,redacted,17.6,redacted,redacted,26.6,21.3,20.4,20.8,6.2,14.6,30.3,48.9
187,Corning Union High (Tehama),52-71506-0000000,redacted,redacted,redacted,redacted,10.5,,,26.1,14.8,17.9,16.5,3.5,13,26.4,57.1
188,Corona-Norco Unified (Riverside),33-67033-0000000,50,75.3,34.9,69.6,34.8,49.1,61.5,55.1,45.4,45.6,45.5,20.4,25.1,27.8,26.7
189,Coronado Unified (San Diego),37-68031-0000000,redacted,84.8,45.8,71.4,56.5,63.6,66,69.2,66.1,66.5,66.3,38.2,28.1,22.1,11.7
190,Cotati-Rohnert Park Unified (Sonoma),49-73882-0000000,15.4,46.6,20.6,46.2,21.7,33.3,39.9,39.1,33,29.3,31.1,9.9,21.3,31.7,37.2
191,Cottonwood Union Elementary (Shasta),45-69955-0000000,40.6,46.7,redacted,redacted,27.3,redacted,37.5,42.8,39.1,41,40.1,13.6,26.6,30.8,29
192,Covina-Valley Unified (Los Angeles),19-64436-0000000,23.8,67.6,29.2,53.3,32.3,38.5,40.9,40.2,36.1,34.7,35.4,13.8,21.6,30.5,34.1
193,Cucamonga Elementary (San Bernardino),36-67694-0000000,redacted,38.6,19,46.3,23.4,redacted,25,35.7,25,25.1,25.1,7.7,17.4,29.6,45.4
194,Cuddeback Union Elementary (Humboldt),12-62737-0000000,redacted,,,,redacted,,redacted,29.1,36.8,33.3,35.1,6.5,28.6,39,26
195,Culver City Unified (Los Angeles),19-64444-0000000,38.5,81.5,36.4,56.5,41.9,42.9,72.4,71.8,55.5,55.8,55.6,32.1,23.5,22.2,22.2
196,Curtis Creek Elementary (Tuolumne),55-72355-0000000,redacted,redacted,redacted,redacted,25.5,,redacted,33.3,32.7,31.7,32.3,13.3,19,30.8,36.9
